SHANG-CHI;MAN-THING
BEAST;NOVA
BEAST;GALACTUS
BEAST;WONDER MAN
BEAST;WOLVERINE
BEAST;SILVER SURFER
BEAST;VISION
BEAST;PSYLOCKE
BEAST;STORM
BEAST;ETERNITY
BEAST;NIGHT THRASHER
BEAST;IN-BETWEENER
BEAST;MR. FANTASTIC
BEAST;DEATH
BEAST;IRON MAN
BEAST;BLACK PANTHER
BEAST;SCARLET WITCH
BEAST;JUBILEE
BEAST;THING
BEAST;INVISIBLE WOMAN
BEAST;HULK
HULK;CAPTAIN AMERICA
HULK;NOVA
HULK;GALACTUS
HULK;WONDER MAN
HULK;WOLVERINE
HULK;SILVER SURFER
HULK;VISION
HULK;PSYLOCKE
HULK;STORM
HULK;ETERNITY
HULK;NIGHT THRASHER
HULK;IN-BETWEENER
HULK;MR. FANTASTIC
HULK;DEATH
HULK;IRON MAN
HULK;BLACK PANTHER
HULK;SCARLET WITCH
HULK;JUBILEE
HULK;THING
HULK;INVISIBLE WOMAN
INVISIBLE WOMAN;CAPTAIN AMERICA
INVISIBLE WOMAN;NOVA
INVISIBLE WOMAN;GALACTUS
INVISIBLE WOMAN;WONDER MAN
INVISIBLE WOMAN;WOLVERINE
INVISIBLE WOMAN;SILVER SURFER
INVISIBLE WOMAN;VISION
INVISIBLE WOMAN;PSYLOCKE
INVISIBLE WOMAN;STORM
INVISIBLE WOMAN;ETERNITY
INVISIBLE WOMAN;NIGHT THRASHER
INVISIBLE WOMAN;IN-BETWEENER
INVISIBLE WOMAN;MR. FANTASTIC
INVISIBLE WOMAN;DEATH
INVISIBLE WOMAN;IRON MAN
INVISIBLE WOMAN;BLACK PANTHER
INVISIBLE WOMAN;SCARLET WITCH
INVISIBLE WOMAN;JUBILEE
INVISIBLE WOMAN;THING
THING;CAPTAIN AMERICA
THING;NOVA
THING;GALACTUS
THING;WONDER MAN
THING;WOLVERINE
THING;SILVER SURFER
THING;VISION
THING;PSYLOCKE
THING;STORM
THING;ETERNITY
THING;NIGHT THRASHER
THING;IN-BETWEENER
THING;MR. FANTASTIC
THING;DEATH
THING;IRON MAN
THING;BLACK PANTHER
THING;SCARLET WITCH
THING;JUBILEE
JUBILEE;CAPTAIN AMERICA
JUBILEE;NOVA
JUBILEE;GALACTUS
JUBILEE;WONDER MAN
JUBILEE;WOLVERINE
JUBILEE;SILVER SURFER
JUBILEE;VISION
JUBILEE;PSYLOCKE
JUBILEE;STORM
JUBILEE;ETERNITY
JUBILEE;NIGHT THRASHER
JUBILEE;IN-BETWEENER
JUBILEE;MR. FANTASTIC
JUBILEE;DEATH
JUBILEE;IRON MAN
JUBILEE;BLACK PANTHER
JUBILEE;SCARLET WITCH
SCARLET WITCH;CAPTAIN AMERICA
SCARLET WITCH;NOVA
SCARLET WITCH;GALACTUS
SCARLET WITCH;WONDER MAN
SCARLET WITCH;WOLVERINE
SCARLET WITCH;SILVER SURFER
SCARLET WITCH;VISION
SCARLET WITCH;PSYLOCKE
SCARLET WITCH;STORM
SCARLET WITCH;ETERNITY
SCARLET WITCH;NIGHT THRASHER
SCARLET WITCH;IN-BETWEENER
SCARLET WITCH;MR. FANTASTIC
SCARLET WITCH;DEATH
SCARLET WITCH;IRON MAN
SCARLET WITCH;BLACK PANTHER
BLACK PANTHER;CAPTAIN AMERICA
BLACK PANTHER;NOVA
BLACK PANTHER;GALACTUS
BLACK PANTHER;WONDER MAN
BLACK PANTHER;WOLVERINE
BLACK PANTHER;SILVER SURFER
BLACK PANTHER;VISION
BLACK PANTHER;PSYLOCKE
BLACK PANTHER;STORM
BLACK PANTHER;ETERNITY
BLACK PANTHER;NIGHT THRASHER
BLACK PANTHER;IN-BETWEENER
BLACK PANTHER;MR. FANTASTIC
BLACK PANTHER;DEATH
BLACK PANTHER;IRON MAN
IRON MAN;CAPTAIN AMERICA
IRON MAN;NOVA
IRON MAN;GALACTUS
IRON MAN;WONDER MAN
IRON MAN;WOLVERINE
IRON MAN;SILVER SURFER
IRON MAN;VISION
IRON MAN;PSYLOCKE
IRON MAN;STORM
IRON MAN;ETERNITY
IRON MAN;NIGHT THRASHER
IRON MAN;IN-BETWEENER
IRON MAN;MR. FANTASTIC
IRON MAN;DEATH
DEATH;CAPTAIN AMERICA
DEATH;NOVA
DEATH;GALACTUS
DEATH;WONDER MAN
DEATH;WOLVERINE
DEATH;SILVER SURFER
DEATH;VISION
DEATH;PSYLOCKE
DEATH;STORM
DEATH;ETERNITY
DEATH;NIGHT THRASHER
DEATH;IN-BETWEENER
DEATH;MR. FANTASTIC
MR. FANTASTIC;CAPTAIN AMERICA
MR. FANTASTIC;NOVA
MR. FANTASTIC;GALACTUS
MR. FANTASTIC;WONDER MAN
MR. FANTASTIC;WOLVERINE
MR. FANTASTIC;SILVER SURFER
MR. FANTASTIC;VISION
MR. FANTASTIC;PSYLOCKE
MR. FANTASTIC;STORM
MR. FANTASTIC;ETERNITY
MR. FANTASTIC;NIGHT THRASHER
MR. FANTASTIC;IN-BETWEENER
IN-BETWEENER;CAPTAIN AMERICA
IN-BETWEENER;NOVA
IN-BETWEENER;GALACTUS
IN-BETWEENER;WONDER MAN
IN-BETWEENER;WOLVERINE
IN-BETWEENER;SILVER SURFER
IN-BETWEENER;VISION
IN-BETWEENER;PSYLOCKE
IN-BETWEENER;STORM
IN-BETWEENER;ETERNITY
IN-BETWEENER;NIGHT THRASHER
NIGHT THRASHER;CAPTAIN AMERICA
NIGHT THRASHER;NOVA
NIGHT THRASHER;GALACTUS
NIGHT THRASHER;WONDER MAN
NIGHT THRASHER;WOLVERINE
NIGHT THRASHER;SILVER SURFER
NIGHT THRASHER;VISION
NIGHT THRASHER;PSYLOCKE
NIGHT THRASHER;STORM
NIGHT THRASHER;ETERNITY
ETERNITY;CAPTAIN AMERICA
ETERNITY;NOVA
ETERNITY;GALACTUS
ETERNITY;WONDER MAN
ETERNITY;WOLVERINE
ETERNITY;SILVER SURFER
ETERNITY;VISION
ETERNITY;PSYLOCKE
ETERNITY;STORM
STORM;CAPTAIN AMERICA
STORM;NOVA
STORM;GALACTUS
STORM;WONDER MAN
STORM;WOLVERINE
STORM;SILVER SURFER
STORM;VISION
STORM;PSYLOCKE
PSYLOCKE;CAPTAIN AMERICA
PSYLOCKE;NOVA
PSYLOCKE;GALACTUS
PSYLOCKE;WONDER MAN
PSYLOCKE;WOLVERINE
PSYLOCKE;SILVER SURFER
PSYLOCKE;VISION
VISION;CAPTAIN AMERICA
VISION;NOVA
VISION;GALACTUS
VISION;WONDER MAN
VISION;WOLVERINE
VISION;SILVER SURFER
SILVER SURFER;CAPTAIN AMERICA
SILVER SURFER;NOVA
SILVER SURFER;GALACTUS
SILVER SURFER;WONDER MAN
SILVER SURFER;WOLVERINE
WOLVERINE;CAPTAIN AMERICA
WOLVERINE;NOVA
WOLVERINE;GALACTUS
WOLVERINE;WONDER MAN
WONDER MAN;CAPTAIN AMERICA
WONDER MAN;NOVA
WONDER MAN;GALACTUS
GALACTUS;CAPTAIN AMERICA
GALACTUS;NOVA
NOVA;CAPTAIN AMERICA
MASTERMIND;HULK
MASTERMIND;COBALT MAN
COBALT MAN;HULK
HULK;QUICKSILVER
HULK;BLACK BOLT
HULK;TRITON
TRITON;QUICKSILVER
TRITON;BLACK BOLT
BLACK BOLT;QUICKSILVER
ABOMINATION (EMIL BLONSKY);HULK
ABOMINATION (EMIL BLONSKY);RHINO
RHINO;HULK
CYCLOPS;JUGGERNAUT
CYCLOPS;HULK
CYCLOPS;PROFESSOR X
PROFESSOR X;JUGGERNAUT
PROFESSOR X;HULK
HULK;JUGGERNAUT
HULK;COBALT MAN
SPIDER-MAN;EDDIE BROCK
BLADE;MORBIUS
BLADE;SPIDER-MAN
BLADE;KINGPIN
KINGPIN;MORBIUS
KINGPIN;SPIDER-MAN
SPIDER-MAN;MORBIUS
ULTRON;MACHINE MAN
ULTRON;THING
ULTRON;JOCASTA
JOCASTA;MACHINE MAN
JOCASTA;THING
THING;MACHINE MAN
SPIDER-MAN;ICEMAN
THOR;SPIDER-MAN
BEAST;ICEMAN
MOONDRAGON;BEAST
MOONDRAGON;ICEMAN
ICEMAN;BEAST
ICEMAN;BEAST
ICEMAN;HUMAN TORCH
ICEMAN;BEYONDER
ICEMAN;MOONDRAGON
ICEMAN;MR. FANTASTIC
MR. FANTASTIC;BEAST
MR. FANTASTIC;HUMAN TORCH
MR. FANTASTIC;BEYONDER
MR. FANTASTIC;MOONDRAGON
MOONDRAGON;BEAST
MOONDRAGON;HUMAN TORCH
MOONDRAGON;BEYONDER
BEYONDER;BEAST
BEYONDER;HUMAN TORCH
HUMAN TORCH;BEAST
KINGPIN;SPIDER-MAN
RATTLER;PUFF ADDER
LONGSHOT;WOLVERINE
LONGSHOT;STORM
LONGSHOT;PSYLOCKE
LONGSHOT;HAVOK
HAVOK;WOLVERINE
HAVOK;STORM
HAVOK;PSYLOCKE
PSYLOCKE;WOLVERINE
PSYLOCKE;STORM
STORM;WOLVERINE
WOLVERINE;HAVOK
WOLVERINE;STORM
WOLVERINE;POLARIS
WOLVERINE;PSYLOCKE
WOLVERINE;LONGSHOT
LONGSHOT;HAVOK
LONGSHOT;STORM
LONGSHOT;POLARIS
LONGSHOT;PSYLOCKE
PSYLOCKE;HAVOK
PSYLOCKE;STORM
PSYLOCKE;POLARIS
POLARIS;HAVOK
POLARIS;STORM
STORM;HAVOK
GATEWAY;LONGSHOT
GATEWAY;HAVOK
GATEWAY;STORM
GATEWAY;PSYLOCKE
GATEWAY;POLARIS
GATEWAY;CYCLOPS
GATEWAY;WOLVERINE
WOLVERINE;LONGSHOT
WOLVERINE;HAVOK
WOLVERINE;STORM
WOLVERINE;PSYLOCKE
WOLVERINE;POLARIS
WOLVERINE;CYCLOPS
CYCLOPS;LONGSHOT
CYCLOPS;HAVOK
CYCLOPS;STORM
CYCLOPS;PSYLOCKE
CYCLOPS;POLARIS
POLARIS;LONGSHOT
POLARIS;HAVOK
POLARIS;STORM
POLARIS;PSYLOCKE
PSYLOCKE;LONGSHOT
PSYLOCKE;HAVOK
PSYLOCKE;STORM
STORM;LONGSHOT
STORM;HAVOK
HAVOK;LONGSHOT
WOLVERINE;LONGSHOT
WOLVERINE;STORM
WOLVERINE;GATEWAY
WOLVERINE;PSYLOCKE
WOLVERINE;HAVOK
HAVOK;LONGSHOT
HAVOK;STORM
HAVOK;GATEWAY
HAVOK;PSYLOCKE
PSYLOCKE;LONGSHOT
PSYLOCKE;STORM
PSYLOCKE;GATEWAY
GATEWAY;LONGSHOT
GATEWAY;STORM
STORM;LONGSHOT
WOLFSBANE;SUNSPOT
WOLFSBANE;GATEWAY
WOLFSBANE;MAGNETO
WOLFSBANE;LONGSHOT
WOLFSBANE;WOLVERINE
WOLFSBANE;HAVOK
WOLFSBANE;PSYLOCKE
WOLFSBANE;STORM
STORM;SUNSPOT
STORM;GATEWAY
STORM;MAGNETO
STORM;LONGSHOT
STORM;WOLVERINE
STORM;HAVOK
STORM;PSYLOCKE
PSYLOCKE;SUNSPOT
PSYLOCKE;GATEWAY
PSYLOCKE;MAGNETO
PSYLOCKE;LONGSHOT
PSYLOCKE;WOLVERINE
PSYLOCKE;HAVOK
HAVOK;SUNSPOT
HAVOK;GATEWAY
HAVOK;MAGNETO
HAVOK;LONGSHOT
HAVOK;WOLVERINE
WOLVERINE;SUNSPOT
WOLVERINE;GATEWAY
WOLVERINE;MAGNETO
WOLVERINE;LONGSHOT
LONGSHOT;SUNSPOT
LONGSHOT;GATEWAY
LONGSHOT;MAGNETO
MAGNETO;SUNSPOT
MAGNETO;GATEWAY
GATEWAY;SUNSPOT
GATEWAY;SUNSPOT
GATEWAY;WOLVERINE
GATEWAY;LONGSHOT
GATEWAY;WOLFSBANE
GATEWAY;STORM
GATEWAY;HAVOK
HAVOK;SUNSPOT
HAVOK;WOLVERINE
HAVOK;LONGSHOT
HAVOK;WOLFSBANE
HAVOK;STORM
STORM;SUNSPOT
STORM;WOLVERINE
STORM;LONGSHOT
STORM;WOLFSBANE
WOLFSBANE;SUNSPOT
WOLFSBANE;WOLVERINE
WOLFSBANE;LONGSHOT
LONGSHOT;SUNSPOT
LONGSHOT;WOLVERINE
WOLVERINE;SUNSPOT
PSYLOCKE;STORM
PSYLOCKE;WOLVERINE
PSYLOCKE;HAVOK
PSYLOCKE;LONGSHOT
LONGSHOT;STORM
LONGSHOT;WOLVERINE
LONGSHOT;HAVOK
HAVOK;STORM
HAVOK;WOLVERINE
WOLVERINE;STORM
LONGSHOT;WOLVERINE
LONGSHOT;HAVOK
LONGSHOT;STORM
LONGSHOT;PSYLOCKE
LONGSHOT;GATEWAY
GATEWAY;WOLVERINE
GATEWAY;HAVOK
GATEWAY;STORM
GATEWAY;PSYLOCKE
PSYLOCKE;WOLVERINE
PSYLOCKE;HAVOK
PSYLOCKE;STORM
STORM;WOLVERINE
STORM;HAVOK
HAVOK;WOLVERINE
PSYLOCKE;STORM
PSYLOCKE;GATEWAY
PSYLOCKE;WOLVERINE
PSYLOCKE;LONGSHOT
PSYLOCKE;HAVOK
HAVOK;STORM
HAVOK;GATEWAY
HAVOK;WOLVERINE
HAVOK;LONGSHOT
LONGSHOT;STORM
LONGSHOT;GATEWAY
LONGSHOT;WOLVERINE
WOLVERINE;STORM
WOLVERINE;GATEWAY
GATEWAY;STORM
CAPTAIN AMERICA;THOR
CAPTAIN AMERICA;IRON MAN
CAPTAIN AMERICA;SILVER SURFER
CAPTAIN AMERICA;MOLECULE MAN
MOLECULE MAN;THOR
MOLECULE MAN;IRON MAN
MOLECULE MAN;SILVER SURFER
SILVER SURFER;THOR
SILVER SURFER;IRON MAN
IRON MAN;THOR
CAPTAIN AMERICA;WASP
CAPTAIN AMERICA;IRON MAN
CAPTAIN AMERICA;THOR
THOR;WASP
THOR;IRON MAN
IRON MAN;WASP
WASP;CAPTAIN AMERICA
WASP;THOR
WASP;IRON MAN
IRON MAN;CAPTAIN AMERICA
IRON MAN;THOR
THOR;CAPTAIN AMERICA
MR. FANTASTIC;THING
MR. FANTASTIC;CAPTAIN AMERICA
MR. FANTASTIC;INVISIBLE WOMAN
MR. FANTASTIC;HUMAN TORCH
MR. FANTASTIC;THOR
MR. FANTASTIC;IRON MAN
MR. FANTASTIC;MOLECULE MAN
MR. FANTASTIC;SILVER SURFER
SILVER SURFER;THING
SILVER SURFER;CAPTAIN AMERICA
SILVER SURFER;INVISIBLE WOMAN
SILVER SURFER;HUMAN TORCH
SILVER SURFER;THOR
SILVER SURFER;IRON MAN
SILVER SURFER;MOLECULE MAN
MOLECULE MAN;THING
MOLECULE MAN;CAPTAIN AMERICA
MOLECULE MAN;INVISIBLE WOMAN
MOLECULE MAN;HUMAN TORCH
MOLECULE MAN;THOR
MOLECULE MAN;IRON MAN
IRON MAN;THING
IRON MAN;CAPTAIN AMERICA
IRON MAN;INVISIBLE WOMAN
IRON MAN;HUMAN TORCH
IRON MAN;THOR
THOR;THING
THOR;CAPTAIN AMERICA
THOR;INVISIBLE WOMAN
THOR;HUMAN TORCH
HUMAN TORCH;THING
HUMAN TORCH;CAPTAIN AMERICA
HUMAN TORCH;INVISIBLE WOMAN
INVISIBLE WOMAN;THING
INVISIBLE WOMAN;CAPTAIN AMERICA
CAPTAIN AMERICA;THING
ICEMAN;VISION
ICEMAN;BLACK PANTHER
ICEMAN;IRON MAN
ICEMAN;BLACK WIDOW
ICEMAN;MOON KNIGHT
ICEMAN;CAPTAIN AMERICA
ICEMAN;THOR
ICEMAN;JOCASTA
ICEMAN;MOONDRAGON
ICEMAN;WASP
ICEMAN;WONDER MAN
ICEMAN;SCARLET WITCH
ICEMAN;BEAST
BEAST;VISION
BEAST;BLACK PANTHER
BEAST;IRON MAN
BEAST;BLACK WIDOW
BEAST;MOON KNIGHT
BEAST;CAPTAIN AMERICA
BEAST;THOR
BEAST;JOCASTA
BEAST;MOONDRAGON
BEAST;WASP
BEAST;WONDER MAN
BEAST;SCARLET WITCH
SCARLET WITCH;VISION
SCARLET WITCH;BLACK PANTHER
SCARLET WITCH;IRON MAN
SCARLET WITCH;BLACK WIDOW
SCARLET WITCH;MOON KNIGHT
SCARLET WITCH;CAPTAIN AMERICA
SCARLET WITCH;THOR
SCARLET WITCH;JOCASTA
SCARLET WITCH;MOONDRAGON
SCARLET WITCH;WASP
SCARLET WITCH;WONDER MAN
WONDER MAN;VISION
WONDER MAN;BLACK PANTHER
WONDER MAN;IRON MAN
WONDER MAN;BLACK WIDOW
WONDER MAN;MOON KNIGHT
WONDER MAN;CAPTAIN AMERICA
WONDER MAN;THOR
WONDER MAN;JOCASTA
WONDER MAN;MOONDRAGON
WONDER MAN;WASP
WASP;VISION
WASP;BLACK PANTHER
WASP;IRON MAN
WASP;BLACK WIDOW
WASP;MOON KNIGHT
WASP;CAPTAIN AMERICA
WASP;THOR
WASP;JOCASTA
WASP;MOONDRAGON
MOONDRAGON;VISION
MOONDRAGON;BLACK PANTHER
MOONDRAGON;IRON MAN
MOONDRAGON;BLACK WIDOW
MOONDRAGON;MOON KNIGHT
MOONDRAGON;CAPTAIN AMERICA
MOONDRAGON;THOR
MOONDRAGON;JOCASTA
JOCASTA;VISION
JOCASTA;BLACK PANTHER
JOCASTA;IRON MAN
JOCASTA;BLACK WIDOW
JOCASTA;MOON KNIGHT
JOCASTA;CAPTAIN AMERICA
JOCASTA;THOR
THOR;VISION
THOR;BLACK PANTHER
THOR;IRON MAN
THOR;BLACK WIDOW
THOR;MOON KNIGHT
THOR;CAPTAIN AMERICA
CAPTAIN AMERICA;VISION
CAPTAIN AMERICA;BLACK PANTHER
CAPTAIN AMERICA;IRON MAN
CAPTAIN AMERICA;BLACK WIDOW
CAPTAIN AMERICA;MOON KNIGHT
MOON KNIGHT;VISION
MOON KNIGHT;BLACK PANTHER
MOON KNIGHT;IRON MAN
MOON KNIGHT;BLACK WIDOW
BLACK WIDOW;VISION
BLACK WIDOW;BLACK PANTHER
BLACK WIDOW;IRON MAN
IRON MAN;VISION
IRON MAN;BLACK PANTHER
BLACK PANTHER;VISION
THOR;BEAST
THOR;CAPTAIN AMERICA
THOR;IRON MAN
THOR;WASP
THOR;VISION
THOR;WONDER MAN
THOR;JOCASTA
THOR;SCARLET WITCH
SCARLET WITCH;BEAST
SCARLET WITCH;CAPTAIN AMERICA
SCARLET WITCH;IRON MAN
SCARLET WITCH;WASP
SCARLET WITCH;VISION
SCARLET WITCH;WONDER MAN
SCARLET WITCH;JOCASTA
JOCASTA;BEAST
JOCASTA;CAPTAIN AMERICA
JOCASTA;IRON MAN
JOCASTA;WASP
JOCASTA;VISION
JOCASTA;WONDER MAN
WONDER MAN;BEAST
WONDER MAN;CAPTAIN AMERICA
WONDER MAN;IRON MAN
WONDER MAN;WASP
WONDER MAN;VISION
VISION;BEAST
VISION;CAPTAIN AMERICA
VISION;IRON MAN
VISION;WASP
WASP;BEAST
WASP;CAPTAIN AMERICA
WASP;IRON MAN
IRON MAN;BEAST
IRON MAN;CAPTAIN AMERICA
CAPTAIN AMERICA;BEAST
IRON MAN;THOR
IRON MAN;WASP
IRON MAN;CAPTAIN AMERICA
CAPTAIN AMERICA;THOR
CAPTAIN AMERICA;WASP
WASP;THOR
THOR;CAPTAIN AMERICA
THOR;WASP
THOR;IRON MAN
IRON MAN;CAPTAIN AMERICA
IRON MAN;WASP
WASP;CAPTAIN AMERICA
THOR;CAPTAIN AMERICA
THOR;IRON MAN
THOR;WASP
THOR;MOONDRAGON
THOR;DRAX
DRAX;CAPTAIN AMERICA
DRAX;IRON MAN
DRAX;WASP
DRAX;MOONDRAGON
MOONDRAGON;CAPTAIN AMERICA
MOONDRAGON;IRON MAN
MOONDRAGON;WASP
WASP;CAPTAIN AMERICA
WASP;IRON MAN
IRON MAN;CAPTAIN AMERICA
THOR;IRON MAN
THOR;CAPTAIN AMERICA
THOR;WASP
WASP;IRON MAN
WASP;CAPTAIN AMERICA
CAPTAIN AMERICA;IRON MAN
SPIDER-MAN;TOMBSTONE
JACKAL;SPIDER-MAN
JACKAL;SPIDER-MAN
HINDSIGHT LAD;SPIDER-MAN
HINDSIGHT LAD;FIRESTAR
HINDSIGHT LAD;ALEX POWER
ALEX POWER;SPIDER-MAN
ALEX POWER;FIRESTAR
FIRESTAR;SPIDER-MAN
BLACK CAT;SPIDER-MAN
MOCKINGBIRD;ZARAN
MOCKINGBIRD;SILVER SABLE
SILVER SABLE;ZARAN
MOCKINGBIRD;SWORDSMAN
SANDMAN;SILVER SABLE
SANDMAN;SILVER SABLE
SPIDER-MAN;JACKAL
SPIDER-MAN;SILVERMANE
SPIDER-MAN;CYCLOPS
SPIDER-MAN;KINGPIN
KINGPIN;CYCLOPS
MR. FANTASTIC;INVISIBLE WOMAN
MR. FANTASTIC;HUMAN TORCH
MR. FANTASTIC;THING
THING;INVISIBLE WOMAN
THING;HUMAN TORCH
HUMAN TORCH;INVISIBLE WOMAN
CYCLOPS;ICEMAN
CYCLOPS;BEAST
BEAST;ICEMAN
WONG;CLEA
WONG;UMAR
UMAR;CLEA
MOON KNIGHT;DAREDEVIL
MOON KNIGHT;THING
NIGHTMARE;CLEA
NIGHTMARE;WONG
NIGHTMARE;CLEA
CLEA;WONG
GAMORA;WONG
GAMORA;CLEA
GAMORA;SCARLET WITCH
GAMORA;ETERNITY
GAMORA;PIP
PIP;WONG
PIP;CLEA
PIP;SCARLET WITCH
PIP;ETERNITY
ETERNITY;WONG
ETERNITY;CLEA
ETERNITY;SCARLET WITCH
SCARLET WITCH;WONG
SCARLET WITCH;CLEA
CLEA;WONG
CLEA;PIP
CLEA;SCARLET WITCH
SCARLET WITCH;PIP
PIP;HULK
PIP;DRAX
PIP;SCARLET WITCH
PIP;CLEA
PIP;FIRELORD
FIRELORD;HULK
FIRELORD;DRAX
FIRELORD;SCARLET WITCH
FIRELORD;CLEA
CLEA;HULK
CLEA;DRAX
CLEA;SCARLET WITCH
SCARLET WITCH;HULK
SCARLET WITCH;DRAX
DRAX;HULK
PIP;CLEA
PIP;SILVER SURFER
SILVER SURFER;CLEA
PIP;CLEA
PIP;THANOS
THANOS;CLEA
CLEA;MEPHISTO
SPIDER-MAN;BLACK CAT
SPIDER-MAN;BLACK CAT
THUNDERBALL;SPIDER-MAN
LIZARD;SPIDER-MAN
LIZARD;BLACK CAT
BLACK CAT;SPIDER-MAN
THUNDERBALL;SPIDER-MAN
SPIDER-MAN;BEYONDER
SPIDER-MAN;KINGPIN
KINGPIN;BEYONDER
ICEMAN;BEAST
ICEMAN;CYCLOPS
CYCLOPS;BEAST
UNICORN;CYCLOPS
UNICORN;ICEMAN
UNICORN;BEAST
UNICORN;PROFESSOR X
PROFESSOR X;CYCLOPS
PROFESSOR X;ICEMAN
PROFESSOR X;BEAST
BEAST;CYCLOPS
BEAST;ICEMAN
ICEMAN;CYCLOPS
PROFESSOR X;ICEMAN
PROFESSOR X;CYCLOPS
PROFESSOR X;BEAST
PROFESSOR X;UNICORN
UNICORN;ICEMAN
UNICORN;CYCLOPS
UNICORN;BEAST
BEAST;ICEMAN
BEAST;CYCLOPS
CYCLOPS;ICEMAN
BEAST;BLOB
BEAST;PROFESSOR X
BEAST;CYCLOPS
BEAST;ICEMAN
ICEMAN;BLOB
ICEMAN;PROFESSOR X
ICEMAN;CYCLOPS
CYCLOPS;BLOB
CYCLOPS;PROFESSOR X
PROFESSOR X;BLOB
PROFESSOR X;CYCLOPS
PROFESSOR X;BEAST
PROFESSOR X;ICEMAN
ICEMAN;CYCLOPS
ICEMAN;BEAST
BEAST;CYCLOPS
CYCLOPS;MIMIC
CYCLOPS;ICEMAN
CYCLOPS;BEAST
CYCLOPS;PROFESSOR X
PROFESSOR X;MIMIC
PROFESSOR X;ICEMAN
PROFESSOR X;BEAST
BEAST;MIMIC
BEAST;ICEMAN
ICEMAN;MIMIC
BEAST;PUPPET MASTER
BEAST;MIMIC
BEAST;PROFESSOR X
BEAST;CYCLOPS
BEAST;SPIDER-MAN
BEAST;SCARLET WITCH
BEAST;ICEMAN
BEAST;QUICKSILVER
QUICKSILVER;PUPPET MASTER
QUICKSILVER;MIMIC
QUICKSILVER;PROFESSOR X
QUICKSILVER;CYCLOPS
QUICKSILVER;SPIDER-MAN
QUICKSILVER;SCARLET WITCH
QUICKSILVER;ICEMAN
ICEMAN;PUPPET MASTER
ICEMAN;MIMIC
ICEMAN;PROFESSOR X
ICEMAN;CYCLOPS
ICEMAN;SPIDER-MAN
ICEMAN;SCARLET WITCH
SCARLET WITCH;PUPPET MASTER
SCARLET WITCH;MIMIC
SCARLET WITCH;PROFESSOR X
SCARLET WITCH;CYCLOPS
SCARLET WITCH;SPIDER-MAN
SPIDER-MAN;PUPPET MASTER
SPIDER-MAN;MIMIC
SPIDER-MAN;PROFESSOR X
SPIDER-MAN;CYCLOPS
CYCLOPS;PUPPET MASTER
CYCLOPS;MIMIC
CYCLOPS;PROFESSOR X
PROFESSOR X;PUPPET MASTER
PROFESSOR X;MIMIC
MIMIC;PUPPET MASTER
BEAST;CYCLOPS
BEAST;ICEMAN
BEAST;PROFESSOR X
PROFESSOR X;CYCLOPS
PROFESSOR X;ICEMAN
ICEMAN;CYCLOPS
ICEMAN;CYCLOPS
