10145;ANIMUS;NULL;ANIMUS;;NULL
10146;ANNALEE;NULL;ANNALEE;;NULL
10147;ANNIHILUS;NULL;ANNIHILUS;;ANNIHILUS
10148;ANOMALY;NULL;ANOMALY;;NULL
10149;ANOMALY III;NULL;ANOMALY III;;NULL
10150;ANON,LORD;NULL;LORD ANON;;NULL
10151;ANSWER;NULL;ANSWER;;NULL
10152;ANSWER II/DAVID FERR;ANSWER II;DAVID FERR;;NULL
10153;ANT-MAN II/SCOTT HAR;ANT-MAN II;SCOTT HAR;;Ant-Man (Scott Lang)
10154;ANT-MAN/DR. HENRY J.;ANT-MAN;DR. HENRY J.;;NULL
10155;ANTEUS;NULL;ANTEUS;;NULL
10156;ANTHROMORPHO;NULL;ANTHROMORPHO;;NULL
10157;ANTI-PHOENIX;NULL;ANTI-PHOENIX;;NULL
10158;ANTI-VISION;ANTI-VISION;NULL;;NULL
10159;ANTIBODY;NULL;ANTIBODY;;NULL
10160;ANTIQUARY/;ANTIQUARY;;;NULL
10161;ANTOINETTE,MARIE;ANTIQUARY;MARIE ANTOINETTE;;NULL
10162;ANTORO;ANTORO;NULL;;NULL
10163;ANTRO;NULL;ANTRO;;NULL
10164;ANUBAR,ANWAR;NULL;ANWAR ANUBAR;;NULL
10165;ANUBIA;NULL;ANUBIA;;NULL
10166;ANVIL/JOHNNY ANVIL;ANVIL;JOHNNY ANVIL;;NULL
10167;APE MAN II/ROY MCVEY;APE MAN II;ROY MCVEY;;NULL
10168;APE MAN/GORDON MONK ;APE MAN;GORDON MONK ;;NULL
10169;APE-X/XINA;APE-X;XINA;;NULL
10170;APE/;APE;;;NULL
10171;APOCALYPSE | MUTANT ;APOCALYPSE | MUTANT ;NULL;;NULL
10172;APOCALYPSE/EN SABAH ;APOCALYPSE;EN SABAH ;;APOCALYPSE
10173;APOCRYPHUS;NULL;APOCRYPHUS;;NULL
10174;APOLLO [GREEK GOD];NULL;APOLLO [GREEK GOD];;NULL
10175;APOSTATE;NULL;APOSTATE;;NULL
10176;APPALLA;NULL;APPALLA;;NULL
10177;APPLEBAUM,PHANTASY;NULL;PHANTASY APPLEBAUM;;NULL
10178;AQUARIAN/WUNDARR;AQUARIAN;WUNDARR;;NULL
10179;AQUARIUS II/;AQUARIUS II;;;NULL
10180;AQUARIUS III/;AQUARIUS III;;;NULL
10181;AQUARIUS/DARREN BENT;AQUARIUS;DARREN BENT;;NULL
10182;ARABIAN KNIGHT/ABDUL;ARABIAN KNIGHT;ABDUL;;NULL
10183;ARACHNE;NULL;ARACHNE;;ARACHNE
10184;ARAGORN;NULL;ARAGORN;;NULL
10185;ARAKI II;NULL;ARAKI II;;NULL
10186;ARAKI [SHI'AR];NULL;ARAKI [SHI'AR];;NULL
10187;ARBOGAST,BAMBI;NULL;BAMBI ARBOGAST;;NULL
10188;ARCADE/;ARCADE;;;ARCADE
10189;ARCADIUS;NULL;ARCADIUS;;NULL
10190;ARCANNA/ARCANNA JONE;ARCANNA;ARCANNA JONE;;NULL
10191;ARCHAEOPTERYX/TONAJA;ARCHAEOPTERYX;TONAJA;;NULL
10192;ARCHER,ULYSSES SAMS;ARCHAEOPTERYX;ULYSSES SAMS ARCHER;;NULL
10193;ARCHER/JUDE BLACK;ARCHER;JUDE BLACK;;NULL
10194;ARCLIGHT/PHILLIPA SO;ARCLIGHT;PHILLIPA SO;;ARCLIGHT
10195;ARCTURUS;NULL;ARCTURUS;;NULL
10196;ARES [GREEK GOD];NULL;ARES [GREEK GOD];;Ares
10197;AREX;NULL;AREX;;NULL
10198;ARGOS;NULL;ARGOS;;NULL
10199;ARGOSY,HERVE;NULL;HERVE ARGOSY;;NULL
10200;ARIA;NULL;ARIA;;NULL
10201;ARIANE;NULL;ARIANE;;NULL
10202;ARIDES;NULL;ARIDES;;NULL
10203;ARIEL II;NULL;ARIEL II;;NULL
10204;ARIES II/GROVER RAYM;ARIES II;GROVER RAYM;;NULL
10205;ARIES III/;ARIES III;;;NULL
10206;ARIES/MARCUS LASSITE;ARIES;MARCUS LASSITE;;NULL
10207;ARISHEM [CELESTIAL];NULL;ARISHEM [CELESTIAL];;NULL
10208;ARIZE;NULL;ARIZE;;NULL
10209;ARKANIAN,GLIB;NULL;GLIB ARKANIAN;;NULL
10210;ARKO;NULL;ARKO;;NULL
10211;ARKON;NULL;ARKON;;NULL
10212;ARLINGTON,DR. MARCU;NULL;DR. MARCU ARLINGTON;;NULL
10213;ARLISSE;NULL;ARLISSE;;NULL
10214;ARMADA;NULL;ARMADA;;NULL
10215;ARMADA II/;ARMADA II;;;NULL
10216;ARMADILLO/ANTONIO RO;ARMADILLO;ANTONIO RO;;ARMADILLO
10217;ARMAGEDDON;NULL;ARMAGEDDON;;NULL
10218;ARMAGEDDON MAN;NULL;ARMAGEDDON MAN;;NULL
10219;ARMAND;NULL;ARMAND;;NULL
10220;ARMAROS;NULL;ARMAROS;;NULL
10221;ARMAZIEL;NULL;ARMAZIEL;;NULL
10222;ARMBRUSTER,COLONEL ;NULL;COLONEL  ARMBRUSTER;;NULL
10223;ARMS MERCHANT/ANDREA;ARMS MERCHANT;ANDREA;;NULL
10224;ARMSTRONG,?;ARMS MERCHANT;? ARMSTRONG;;NULL
10225;ARMSTRONG,MYRA;ARMS MERCHANT;MYRA ARMSTRONG;;NULL
10226;ARNSTROM;NULL;ARNSTROM;;NULL
10227;ARON [WATCHER];NULL;ARON [WATCHER];;NULL
10228;ARRANGER/;ARRANGER;;;NULL
10229;ARROW;NULL;ARROW;;NULL
10230;ARSENAL;NULL;ARSENAL;;NULL
10231;ARSENAL II;NULL;ARSENAL II;;NULL
10232;ARSENIC;NULL;ARSENIC;;ARSENIC
10233;ARTEMIS;NULL;ARTEMIS;;NULL
10234;ARVAK;NULL;ARVAK;;NULL
10235;ARYAN;NULL;ARYAN;;NULL
10236;ASANO;NULL;ASANO;;NULL
10237;ASBERY,SHAMARI;NULL;SHAMARI ASBERY;;NULL
10238;ASBESTOS LADY;NULL;ASBESTOS LADY;;NULL
10239;ASH,BRANDY;NULL;BRANDY ASH;;NULL
10240;ASHEMA [CELESTIAL];NULL;ASHEMA [CELESTIAL];;NULL
10241;ASHER,CARL;NULL;CARL ASHER;;NULL
10242;ASHER,DONNA;NULL;DONNA ASHER;;NULL
10243;ASHER,MICHAEL;NULL;MICHAEL ASHER;;NULL
10244;ASHUR;NULL;ASHUR;;NULL
10245;ASKANI;NULL;ASKANI;;NULL
10246;ASMODEUS;NULL;ASMODEUS;;NULL
10247;ASP II/CLEO;ASP II;CLEO;;NULL
10248;ASSAULT/;ASSAULT;;;NULL
10249;ASTARTE;NULL;ASTARTE;;NULL
10250;ASTER,LUCIAN;NULL;LUCIAN ASTER;;NULL
10251;ASTRA;NULL;ASTRA;;NULL
10252;ASTRA II;NULL;ASTRA II;;NULL
10253;ASTROLOGER/;ASTROLOGER;;;NULL
10254;ASTRONOMER;NULL;ASTRONOMER;;NULL
10255;ASTROVIK,ARNOLD;NULL;ARNOLD ASTROVIK;;NULL
10256;ASTROVIK,NORMA;NULL;NORMA ASTROVIK;;NULL
10257;ASYLUM II/HENRIQUE M;ASYLUM II;HENRIQUE M;;NULL
10258;ASYLUM/;ASYLUM;;;ASYLUM
10259;ATALANTA;NULL;ATALANTA;;NULL
10260;ATALON;NULL;ATALON;;NULL
10261;ATHENA [GREEK GOD];NULL;ATHENA [GREEK GOD];;NULL
10262;ATKINSON,MAJ. EDMON;NULL;MAJ. EDMON ATKINSON;;NULL
10263;ATLAS;NULL;ATLAS;;NULL
10264;ATLAS III;NULL;ATLAS III;;NULL
10265;ATOM SMASHER II/;ATOM SMASHER II;;;NULL
10266;ATOM SMASHER/;ATOM SMASHER;;;NULL
10267;ATOM-SMASHER/;ATOM-SMASHER;;;NULL
10268;ATOR,GENERAL;ATOM-SMASHER;GENERAL ATOR;;NULL
10269;ATTRACTIVE LAD/AUNDR;ATTRACTIVE LAD;AUNDR;;NULL
10270;ATTUMA;NULL;ATTUMA;;NULL
10271;AUGUST PERSONAGE IN ;NULL;AUGUST PERSONAGE IN ;;NULL
10272;AUNTIE FREEZE/;AUNTIE FREEZE;;;NULL
10273;AURA/ANN HERD;AURA;ANN HERD;;NULL
10274;AURIC/;AURIC;;;NULL
10275;AURORA DOPPELGANGER;AURORA DOPPELGANGER;NULL;;NULL
10276;AURORA | MUTANT X-VE;AURORA | MUTANT X-VE;NULL;;NULL
10277;AURORA/JEANNE-MARIE ;AURORA;JEANNE-MARIE ;;AURORA
10278;AUSTIN,GEN.;AURORA;GEN. AUSTIN;;AURORA
10279;AUSTIN,SUSAN;AURORA;SUSAN AUSTIN;;AURORA
10280;AUSTIN,TERRY;AURORA;TERRY AUSTIN;;AURORA
10281;AUTHIER,POLICE CHIE;AURORA;POLICE CHIE AUTHIER;;AURORA
10282;AUTHIER,TRACY TRACE;AURORA;TRACY TRACE AUTHIER;;AURORA
10283;AUTHORITY/;AUTHORITY;;;NULL
10284;AUTOLYCUS;NULL;AUTOLYCUS;;NULL
10285;AVALANCHE/DOMINIC PE;AVALANCHE;DOMINIC PE;;AVALANCHE
10286;AVANDALIA;NULL;AVANDALIA;;NULL
10287;AVATAR;NULL;AVATAR;;NULL
10288;AVATAR II/PRINCESS A;AVATAR II;PRINCESS A;;NULL
10289;AVIA;NULL;AVIA;;NULL
10290;AVIOS;NULL;AVIOS;;NULL
10291;AVIUS;NULL;AVIUS;;NULL
10292;AVRIL,SALLY;NULL;SALLY AVRIL;;NULL
10293;AVRIL,YVETTE;NULL;YVETTE AVRIL;;NULL
10294;AWESOME ANDROID;NULL;AWESOME ANDROID;;NULL
10295;AXE/;AXE;;;NULL
10296;AXIS/;AXIS;;;NULL
10297;AYALA,AWILDA;AXIS;AWILDA AYALA;;NULL
10298;AYALA,FILIPPO;AXIS;FILIPPO AYALA;;NULL
10299;AYALA,MRS.;AXIS;MRS. AYALA;;NULL
10300;AYALA,NESTOR;AXIS;NESTOR AYALA;;NULL
10301;AYESHA;NULL;AYESHA;;NULL
10302;AZAZEL;NULL;AZAZEL;;Azazel (Mutant)
10303;AZAZEL II;NULL;AZAZEL II;;NULL
10304;AZIR;NULL;AZIR;;NULL
10305;AZOPARDI;NULL;AZOPARDI;;NULL
10306;AZOR;NULL;AZOR;;NULL
10307;AZRAEL;NULL;AZRAEL;;NULL
10308;AZURE;NULL;AZURE;;NULL
10309;B'ARR;NULL;B'ARR;;NULL
10310;B'GON;NULL;B'GON;;NULL
10311;B'KOSA,GEN. JONATHA;NULL;GEN. JONATHA B'KOSA;;NULL
10312;BAAL;NULL;BAAL;;NULL
10313;BAAL II;NULL;BAAL II;;NULL
10314;BACILLUS;NULL;BACILLUS;;NULL
10315;BADALAMENTE,JESUS;NULL;JESUS BADALAMENTE;;NULL
10316;BADALINO,LT. MICHAE;NULL;LT. MICHAE BADALINO;;NULL
10317;BAILEY,GAILYN;NULL;GAILYN BAILEY;;NULL
10318;BAILEY,JOEY;NULL;JOEY BAILEY;;NULL
10319;BAILEY,SARA GREY;NULL;SARA GREY BAILEY;;NULL
10320;BAIRD,DR.;NULL;DR. BAIRD;;NULL
10321;BAKER;NULL;BAKER;;NULL
10322;BAKER,ANNE-MARIE;NULL;ANNE-MARIE BAKER;;NULL
10323;BALABAN/;BALABAN;;;NULL
10324;BALDER [ASGARDIAN];NULL;BALDER [ASGARDIAN];;NULL
10325;BALDWIN,JUSTIN;NULL;JUSTIN BALDWIN;;NULL
10326;BALDWIN,MADELYNE MA;NULL;MADELYNE MA BALDWIN;;NULL
10327;BALE,EMERSON;NULL;EMERSON BALE;;NULL
10328;BALLANTINE,DEVON;NULL;DEVON BALLANTINE;;NULL
10329;BALLANTINE,KAYLA;NULL;KAYLA BALLANTINE;;NULL
10330;BALLANTINE,MR.;NULL;MR. BALLANTINE;;NULL
10331;BALLANTINE,MRS.;NULL;MRS. BALLANTINE;;NULL
10332;BALOR;NULL;BALOR;;NULL
10333;BAMBI;NULL;BAMBI;;NULL
10334;BANCROFT,MARTINE;NULL;MARTINE BANCROFT;;NULL
10335;BANDIT/;BANDIT;;;NULL
10336;BANK,IRVING;BANDIT;IRVING BANK;;NULL
10337;BANKS,SHARON;BANDIT;SHARON BANKS;;NULL
10338;BANNER,BETTY ROSS T;BANDIT;BETTY ROSS T BANNER;;NULL
10339;BANNERJEE,DR.;BANDIT;DR. BANNERJEE;;NULL
10340;BANNON,LANCE;BANDIT;LANCE BANNON;;NULL
10341;BANSHEE 2013;BANSHEE 2013;NULL;;NULL
10342;BANSHEE II;BANSHEE II;NULL;;NULL
10343;BANSHEE/SEAN CASSIDY;BANSHEE;SEAN CASSIDY;;BANSHEE
10344;BANTAM/;BANTAM;;;NULL
10345;BANTOCK,LT. OLIVER;BANTAM;LT. OLIVER BANTOCK;;NULL
10346;BAPTISTE,TANTE MATT;BANTAM;TANTE MATT BAPTISTE;;NULL
10347;BARAK;NULL;BARAK;;NULL
10348;BARBAROSSA,MARIO;NULL;MARIO BARBAROSSA;;NULL
10349;BARBAROSSA,VINNIE;NULL;VINNIE BARBAROSSA;;NULL
10350;BARBARUS;NULL;BARBARUS;;NULL
10351;BARIUM;NULL;BARIUM;;NULL
10352;BARKER;NULL;BARKER;;NULL
10353;BARKER,MATTHEW T.;NULL;MATTHEW T. BARKER;;NULL
10354;BARNACLE/;BARNACLE;;;NULL
10355;BARNETT,MIKE;BARNACLE;MIKE BARNETT;;NULL
10356;BARON BLOOD II/VICTO;BARON BLOOD II;VICTO;;NULL
10357;BARON BLOOD/JOHN FAL;BARON BLOOD;JOHN FAL;;NULL
10358;BARON BRIMSTONE/;BARON BRIMSTONE;;;NULL
10359;BARON MACABRE/;BARON MACABRE;;;NULL
10360;BARON MORDO/KARL MOR;BARON MORDO;KARL MOR;;NULL
10361;BARON SAMEDI;NULL;BARON SAMEDI;;NULL
10362;BARON STRUCKER/WOLFG;BARON STRUCKER;WOLFG;;BARON STRUCKER
10363;BARON ZEBEK;NULL;BARON ZEBEK;;NULL
10364;BARONESS ZEMO/HEIKE;BARONESS ZEMO;HEIKE;;NULL
10365;BARRACUDA/;BARRACUDA;;;BARRACUDA
10366;BARRAGE;BARRAGE;NULL;;NULL
10367;BARRANCO,MARIA ESME;BARRAGE;MARIA ESME BARRANCO;;NULL
10368;BARRENOS,OMAR;BARRAGE;OMAR BARRENOS;;NULL
10369;BARRIER/;BARRIER;;;NULL
10370;BARRINGTON;NULL;BARRINGTON;;NULL
10371;BARRON,RICK;NULL;RICK BARRON;;NULL
10372;BARROWS,WALTER;NULL;WALTER BARROWS;;NULL
10373;BARTLETT,STU;NULL;STU BARTLETT;;NULL
10374;BARTON,SEN.;NULL;SEN. BARTON;;NULL
10375;BARTOS;NULL;BARTOS;;NULL
10376;BASALLO/LAVA MEN KIN;BASALLO;LAVA MEN KIN;;NULL
10377;BASALTAR;NULL;BASALTAR;;NULL
10378;BASILISK II;BASILISK II;NULL;;NULL
10379;BASILISK III/;BASILISK III;;;NULL
10380;BASILISK/BASIL ELKS;BASILISK;BASIL ELKS;;NULL
10381;BATAL/;BATAL;;;NULL
10382;BATROC/GEORGES BATRO;BATROC;GEORGES BATRO;;NULL
10383;BATTERING RAM;NULL;BATTERING RAM;;BATTERING RAM
10384;BATTERY/;BATTERY;;;NULL
10385;BATTLE,MONTGOMERY;BATTERY;MONTGOMERY BATTLE;;NULL
10386;BATTLEAXE II/JEROME ;BATTLEAXE II;JEROME ;;NULL
10387;BATTLEAXE/;BATTLEAXE;;;NULL
10388;BATTLESTAR/LEMAR HOS;BATTLESTAR;LEMAR HOS;;NULL
10389;BATWING/;BATWING;;;NULL
10390;BAV-TEK;NULL;BAV-TEK;;NULL
10391;BAXTER;NULL;BAXTER;;NULL
10392;BAXTER,ABIGAIL;NULL;ABIGAIL BAXTER;;NULL
10393;BAXTER,NOAH;NULL;NOAH BAXTER;;NULL
10394;BAYLOR,FRANK;NULL;FRANK BAYLOR;;NULL
10395;BAYMAX;NULL;BAYMAX;;NULL
10396;BAZIN,ALLEGRA;NULL;ALLEGRA BAZIN;;NULL
10397;BAZIN,ANDREW;NULL;ANDREW BAZIN;;NULL
10398;BAZIN,BRODERICK RIC;NULL;BRODERICK RIC BAZIN;;NULL
10399;BAZIN,PHILLIPPE;NULL;PHILLIPPE BAZIN;;NULL
10400;BEACH,GINGER;NULL;GINGER BEACH;;NULL
10401;BEACH,SPIDER;NULL;SPIDER BEACH;;NULL
10402;BEALE,ERIC;NULL;ERIC BEALE;;NULL
10403;BEAR/;BEAR;;;NULL
10404;BEAST 2013;BEAST 2013;NULL;;NULL
10405;BEAST DOPPELGANGER;BEAST DOPPELGANGER;NULL;;NULL
10406;BEAST DOPPELGANGER I;BEAST DOPPELGANGER I;NULL;;NULL
10407;BEAST/HENRY &HANK& P;BEAST;HENRY &HANK& P;;BEAST
10408;BEAUMONT,SPENCER;BEAST;SPENCER BEAUMONT;;BEAST
10409;BEAUTIFUL DREAMER;NULL;BEAUTIFUL DREAMER;;NULL
10410;BEAUTIFUL DREAMER II;NULL;BEAUTIFUL DREAMER II;;NULL
10411;BEAUTY;NULL;BEAUTY;;NULL
10412;BECKFORD,NOEL;NULL;NOEL BECKFORD;;NULL
10413;BECKLEY,BENNY;NULL;BENNY BECKLEY;;NULL
10414;BECKMAN,CHARLES;NULL;CHARLES BECKMAN;;NULL
10415;BECKMAN,JOSEPH;NULL;JOSEPH BECKMAN;;NULL
10416;BECKMAN,LISA;NULL;LISA BECKMAN;;NULL
10417;BECKMAN,SARAH;NULL;SARAH BECKMAN;;NULL
10418;BEDFORD,BRAD HULK;NULL;BRAD HULK BEDFORD;;NULL
10419;BEDLAM II/OLISA KABA;BEDLAM II;OLISA KABA;;NULL
